TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
677.1761,640.744,444.629,-589.687,-708.75,1863.75,2327.5,-110.96,-147.44,98.8
677.2261,648.857,435.54,-593.347,-201.25,1076.25,752.5,-112.48,-158.08,101.84
677.2761,641.354,451.339,-595.787,1846.25,4375.0,-2738.75,-101.84,-150.48,97.28
677.3263,638.304,452.681,-589.992,262.5,4830.0,-1723.75,-103.36,-159.6,114.0
677.3761,637.145,454.877,-584.014,-1933.75,4453.75,148.75,-103.36,-148.96,110.96
677.4262,639.219,450.851,-581.818,-1242.5,3552.5,892.5,-106.4,-147.44,107.92
677.4761,639.219,447.069,-583.099,-953.75,2773.75,498.75,-127.68,-147.44,97.28
677.5262,640.195,446.703,-583.404,455.0,2555.0,-1295.0,-107.92,-153.52,97.28
677.5761,641.171,448.899,-585.478,1023.75,2931.25,-1146.25,-98.8,-148.96,106.4
677.6261,642.025,450.18,-585.661,1295.0,2852.5,26.25,-104.88,-148.96,109.44
677.6761,641.964,447.679,-587.247,927.5,3027.5,8.75,-109.44,-158.08,103.36
677.7261,645.197,443.653,-590.907,1190.0,3920.0,-70.0,-107.92,-162.64,97.28
677.7761,643.306,440.42,-588.101,1321.25,3333.75,-813.75,-100.32,-155.04,101.84
677.8261,640.866,456.585,-587.979,-1496.25,3202.5,-568.75,-114.0,-155.04,120.08
677.8761,640.988,447.679,-583.099,-70.0,2782.5,-201.25,-114.0,-155.04,101.84
677.9261,642.513,440.42,-587.796,271.25,2563.75,-638.75,-117.04,-153.52,112.48
677.9761,643.489,446.154,-585.6,577.5,2852.5,-1321.25,-106.4,-142.88,100.32
678.0261,638.426,442.006,-589.443,-1032.5,2957.5,-253.75,-110.96,-155.04,95.76
678.0761,638.67,450.912,-587.003,-350.0,2782.5,-472.5,-114.0,-156.56,98.8
678.1261,644.465,447.496,-586.088,-271.25,2668.75,-568.75,-101.84,-152.0,98.8
